$ kubectl get pods
NAME                                  READY   STATUS    RESTARTS   AGE
bloaty-mcbloatface-58c98b98d8-29rnq   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-2q2ll   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-5x2j6   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-6zrk5   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-7z75k   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-9bgz2   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-9ggd7   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-jdqj8   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-jgpv5   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-mhcm6   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-qzbdk   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-r2mtr   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-rwvj7   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-skhkm   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-wr9d8   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-xsxxs   1/1     Running   0          8m11s
bloaty-mcbloatface-58c98b98d8-zn4lv   1/1     Running   0          8m11s
canary-v1-64598c676f-2nv82            1/1     Running   0          145m
canary-v1-64598c676f-4fwbc            1/1     Running   0          145m
canary-v1-64598c676f-jqm5p            1/1     Running   0          145m
canary-v2-5dc9c56687-bzvzb            1/1     Running   0          123m
canary-v2-5dc9c56687-gqd8d            1/1     Running   0          121m
canary-v2-5dc9c56687-j2v97            1/1     Running   0          121m
debug                                 1/1     Running   0          110m
green-5cdd96c9b4-xdz6t                1/1     Running   0          78m
hello-world-794458d64d-8kstd          1/1     Running   0          134m
